,cl,coupling,d,exp,gdm,gq,lam,m1s,m2s,mchi,md,mdm,mlq,mmed,mphi,obs,p1s,p2s,tag,ylq
0,0.9,axial,,62.25,1.0,0.25,,43.100830078125,31.611328125,,,400.0,,2000.0,,112.44050121244246,92.11231994628906,131.9857177734375,axial_mmed2000_mdm400_gq0p25_gdm1p0,
0,0.95,axial,,101.75,1.0,0.25,,72.31304931640625,54.0546875,,,600.0,,2000.0,,171.71882246867207,145.9582061767578,202.78216552734375,axial_mmed2000_mdm600_gq0p25_gdm1p0,
0,0.9,axial,,84.5,1.0,0.25,,58.50634765625,42.91015625,,,600.0,,2000.0,,150.7893666860911,125.03600311279297,179.16134643554688,axial_mmed2000_mdm600_gq0p25_gdm1p0,
0,0.95,axial,,197.75,1.0,0.25,,140.53961181640625,105.0546875,,,800.0,,2000.0,,355.67911713116564,283.66815185546875,394.1048889160156,axial_mmed2000_mdm800_gq0p25_gdm1p0,
0,0.9,axial,,164.5,1.0,0.25,,113.89697265625,83.53515625,,,800.0,,2000.0,,314.50454231677304,243.4132843017578,347.52716064453125,axial_mmed2000_mdm800_gq0p25_gdm1p0,
0,0.95,axial,,432.5,1.0,0.25,,307.3748779296875,229.765625,,,900.0,,2000.0,,780.7954670306739,620.4120483398438,867.3765258789062,axial_mmed2000_mdm900_gq0p25_gdm1p0,
0,0.9,axial,,359.0,1.0,0.25,,248.5654296875,182.3046875,,,900.0,,2000.0,,691.413575292568,531.218017578125,763.908203125,axial_mmed2000_mdm900_gq0p25_gdm1p0,
0,0.95,axial,,107.75,1.0,0.25,,76.57720947265625,57.2421875,,,1.0,,2250.0,,187.79033803791603,154.56507873535156,216.09207153320312,axial_mmed2250_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,89.5,1.0,0.25,,61.96826171875,45.44921875,,,1.0,,2250.0,,165.43429007385703,132.43458557128906,190.44508361816406,axial_mmed2250_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,584.5,1.0,0.25,,415.4002685546875,310.515625,,,1000.0,,2500.0,,1011.6530560601823,838.4527587890625,1172.2117919921875,axial_mmed2500_mdm1000_gq0p25_gdm1p0,
0,0.9,axial,,485.0,1.0,0.25,,335.8056640625,246.2890625,,,1000.0,,2500.0,,891.5149783704545,719.9658203125,1033.5595703125,axial_mmed2500_mdm1000_gq0p25_gdm1p0,
0,0.95,axial,,174.5,1.0,0.25,,124.0159912109375,92.703125,,,1.0,,2500.0,,312.64128598427305,250.3165283203125,349.9588623046875,axial_mmed2500_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,145.0,1.0,0.25,,100.3955078125,73.6328125,,,1.0,,2500.0,,275.8144027970102,214.55882263183594,308.5423278808594,axial_mmed2500_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,294.5,1.0,0.25,,208.5891876220703,155.302734375,,,750.0,,2500.0,,536.4041268072541,422.4539794921875,590.6182250976562,axial_mmed2500_mdm750_gq0p25_gdm1p0,
0,0.9,axial,,244.5,1.0,0.25,,169.28759765625,124.16015625,,,750.0,,2500.0,,473.4966502216654,361.7905578613281,520.2661743164062,axial_mmed2500_mdm750_gq0p25_gdm1p0,
0,0.95,axial,,2.1875,1.0,0.25,,1.5678596496582031,1.170654296875,,,100.0,,250.0,,3.0750146779959326,3.07688570022583,4.180102825164795,axial_mmed250_mdm100_gq0p25_gdm1p0,
