,cl,coupling,d,exp,gdm,gq,lam,m1s,m2s,mchi,md,mdm,mlq,mmed,mphi,obs,p1s,p2s,tag,ylq
0,0.95,,,1.578125,,,1.0,1.1348552703857422,0.8507080078125,200.0,,,,,1800.0,1.5746279523601672,2.2008819580078125,2.9417080879211426,S3D_uR_mphi1800_mchi200_lam1p0,
0,0.95,,,1.8203125,,,1.0,1.309016227722168,0.98126220703125,350.0,,,,,1800.0,1.8220909624946406,2.5386409759521484,3.393158197402954,S3D_uR_mphi1800_mchi350_lam1p0,
0,0.95,,,3.078125,,,1.0,2.213529586791992,1.6593017578125,650.0,,,,,1800.0,3.0840092863501125,4.305078983306885,5.74655818939209,S3D_uR_mphi1800_mchi650_lam1p0,
0,0.95,,,2.1328125,,,1.0,1.5337400436401367,1.14971923828125,1.0,,,,,2000.0,2.132736421270094,2.9829607009887695,3.995434045791626,S3D_uR_mphi2000_mchi1_lam1p0,
0,0.95,,,2.2109375,,,1.0,1.589920997619629,1.19183349609375,200.0,,,,,2000.0,2.2149738404290304,3.1010396480560303,4.148052215576172,S3D_uR_mphi2000_mchi200_lam1p0,
0,0.95,,,2.421875,,,1.0,1.7416095733642578,1.3055419921875,350.0,,,,,2000.0,2.425627567348391,3.3968985080718994,4.559301853179932,S3D_uR_mphi2000_mchi350_lam1p0,
0,0.95,,,3.03125,,,1.0,2.179821014404297,1.634033203125,500.0,,,,,2000.0,3.0381972382890607,4.251601696014404,5.706480503082275,S3D_uR_mphi2000_mchi500_lam1p0,
0,0.95,,,2.578125,,,1.0,1.8539714813232422,1.3897705078125,1.0,,,,,2200.0,2.577180350797133,3.5955002307891846,4.838918685913086,S3D_uR_mphi2200_mchi1_lam1p0,
0,0.95,,,3.28125,,,1.0,2.3477840423583984,1.768798828125,200.0,,,,,2200.0,3.283159530193063,4.602249622344971,6.177118301391602,S3D_uR_mphi2200_mchi200_lam1p0,
0,0.95,,,3.703125,,,1.0,2.6629772186279297,1.9962158203125,350.0,,,,,2200.0,3.7009951771094225,5.193967342376709,6.971319198608398,S3D_uR_mphi2200_mchi350_lam1p0,
0,0.95,,,0.04541015625,,,1.0,0.03308755159378052,0.025188446044921875,1.0,,,,,300.0,0.045779933603171306,0.06387285143136978,0.08474519848823547,S3D_uR_mphi300_mchi1_lam1p0,
0,0.95,,,0.06982421875,,,1.0,0.05037793517112732,0.03791236877441406,1.0,,,,,500.0,0.06959223371951435,0.09682148694992065,0.1297581046819687,S3D_uR_mphi500_mchi1_lam1p0,
0,0.95,,,0.095703125,,,1.0,0.06904947757720947,0.05196380615234375,200.0,,,,,500.0,0.0977622891952985,0.1334693282842636,0.17778024077415466,S3D_uR_mphi500_mchi200_lam1p0,
0,0.95,,,0.271484375,,,1.0,0.19522881507873535,0.1463470458984375,400.0,,,,,500.0,0.26735137693777833,0.3786170482635498,0.5060611367225647,S3D_uR_mphi500_mchi400_lam1p0,
0,0.95,,,0.138671875,,,1.0,0.10005128383636475,0.07529449462890625,1.0,,,,,750.0,0.14329797623696372,0.1922888159751892,0.2559092938899994,S3D_uR_mphi750_mchi1_lam1p0,
0,0.95,,,0.158203125,,,1.0,0.1141430139541626,0.08589935302734375,200.0,,,,,750.0,0.16365117562894252,0.2193717509508133,0.29195284843444824,S3D_uR_mphi750_mchi200_lam1p0,
